Genome,Genome ID,Accession,PATRIC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1368",,,"PATRIC.313590.8.CP009301.CDS.1502598.1502990.fwd","PATRIC","CDS",1502598,1502990,393,"+","FIG00000164","PLF_326319_00000993","PGF_09452281",,130,,"Ribosome-binding factor A","GO:0006364|rRNA processing"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1369",,,"PATRIC.313590.8.CP009301.CDS.1502991.1504196.fwd","PATRIC","CDS",1502991,1504196,1206,"+","FIG01410824","PLF_326319_00000417","PGF_10130596",,401,,"Lipoprotein releasing system transmembrane protein LolC/LolE",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.129",,,"PATRIC.313590.8.CP009301.CDS.150338.150661.rev","PATRIC","CDS",150338,150661,324,"-","FIG00847668","PLF_326319_00002507","PGF_08225224",,107,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1370",,,"PATRIC.313590.8.CP009301.CDS.1504193.1505185.rev","PATRIC","CDS",1504193,1505185,993,"-","FIG00000580","PLF_326319_00002296","PGF_00912265",,330,,"tRNA-dihydrouridine synthase DusB",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1371",,,"PATRIC.313590.8.CP009301.CDS.1505272.1506417.rev","PATRIC","CDS",1505272,1506417,1146,"-","FIG01336741","PLF_326319_00002356","PGF_12781077",,381,,"Acyltransferase",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1372",,,"PATRIC.313590.8.CP009301.CDS.1506425.1508797.rev","PATRIC","CDS",1506425,1508797,2373,"-","FIG01260980","PLF_326319_00000882","PGF_05380610",,790,,"Putative TonB-dependent receptor",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1373",,,"PATRIC.313590.8.CP009301.CDS.1508966.1510768.fwd","PATRIC","CDS",1508966,1510768,1803,"+","FIG00000165","PLF_326319_00001537","PGF_00060414",,600,,"Translation elongation factor LepA",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1374",,,"PATRIC.313590.8.CP009301.CDS.1510824.1511735.rev","PATRIC","CDS",1510824,1511735,912,"-","FIG00028779","PLF_326319_00002420","PGF_00012956",,303,,"Hydroxymethylpyrimidine ABC transporter, substrate-binding component",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1375",,,"PATRIC.313590.8.CP009301.CDS.1511732.1512433.rev","PATRIC","CDS",1511732,1512433,702,"-","FIG00000856","PLF_326319_00001122","PGF_00420612",,233,,"Cytoplasmic copper homeostasis protein CutC",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.130",,,"PATRIC.313590.8.CP009301.CDS.151192.151326.fwd","PATRIC","CDS",151192,151326,135,"+",,"PLF_326319_00002125","PGF_01526714",,44,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1376",,,"PATRIC.313590.8.CP009301.CDS.1512536.1515484.fwd","PATRIC","CDS",1512536,1515484,2949,"+","FIG00004078","PLF_326319_00001087","PGF_00045730",,982,,"Alpha-1,2-mannosidase",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.131",,,"PATRIC.313590.8.CP009301.CDS.151336.152574.fwd","PATRIC","CDS",151336,152574,1239,"+","FIG01351126","PLF_326319_00000610","PGF_00416272",,412,,"Capsular polysaccharide biosynthesis protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1377",,,"PATRIC.313590.8.CP009301.CDS.1515487.1516293.fwd","PATRIC","CDS",1515487,1516293,807,"+","FIG00432062","PLF_326319_00001060","PGF_03341880",,268,,"3-mercaptopyruvate sulfurtransferase (EC 2.8.1.2)","GO:0016784|3-mercaptopyruvate sulfurtransferase activity"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1378",,,"PATRIC.313590.8.CP009301.CDS.1516329.1517342.fwd","PATRIC","CDS",1516329,1517342,1014,"+","FIG00000376","PLF_326319_00000639","PGF_00024252",,337,,"N4-(beta-N-acetylglucosaminyl)-L-asparaginase, putative",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1379",,,"PATRIC.313590.8.CP009301.CDS.1517832.1520681.fwd","PATRIC","CDS",1517832,1520681,2850,"+","FIG00000404","PLF_326319_00000330","PGF_10347756",,949,,"DNA polymerase I (EC 2.7.7.7)","GO:0003887|DNA-directed DNA polymerase activity"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1380",,,"PATRIC.313590.8.CP009301.CDS.1520766.1521266.rev","PATRIC","CDS",1520766,1521266,501,"-",,"PLF_326319_00002984","PGF_00131480",,166,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1381",,,"PATRIC.313590.8.CP009301.CDS.1521445.1524138.rev","PATRIC","CDS",1521445,1524138,2694,"-","FIG00652813","PLF_326319_00000227","PGF_00427343",,897,,"FIG00652814: hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1382",,,"PATRIC.313590.8.CP009301.CDS.1524162.1524284.rev","PATRIC","CDS",1524162,1524284,123,"-",,"PLF_326319_00003811","PGF_01527662",,40,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1383",,,"PATRIC.313590.8.CP009301.CDS.1524433.1524888.fwd","PATRIC","CDS",1524433,1524888,456,"+","FIG00000211","PLF_326319_00000372","PGF_06180597",,151,,"LSU ribosomal protein L13p (L13Ae)","GO:0003735|structural constituent of ribosome;GO:0005622|intracellular;GO:0005840|ribosome;GO:0006412|translation"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1384",,,"PATRIC.313590.8.CP009301.CDS.1524889.1525275.fwd","PATRIC","CDS",1524889,1525275,387,"+","FIG00001110","PLF_326319_00001349","PGF_00049909",,128,,"SSU ribosomal protein S9p (S16e)","GO:0003735|structural constituent of ribosome;GO:0005622|intracellular;GO:0005840|ribosome;GO:0006412|translation"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.11",,,"PATRIC.313590.8.CP009301.CDS.15249.16196.rev","PATRIC","CDS",15249,16196,948,"-","FIG01314168","PLF_326319_00001472","PGF_02931452",,315,,"Tiorf87 protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1385",,,"PATRIC.313590.8.CP009301.CDS.1525484.1526284.fwd","PATRIC","CDS",1525484,1526284,801,"+","FIG00037273","PLF_326319_00001023","PGF_04505269",,266,,"SSU ribosomal protein S2p (SAe)","GO:0003735|structural constituent of ribosome;GO:0005622|intracellular;GO:0005840|ribosome;GO:0006412|translation"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1386",,,"PATRIC.313590.8.CP009301.CDS.1526375.1527340.fwd","PATRIC","CDS",1526375,1527340,966,"+","FIG00000191","PLF_326319_00001539","PGF_06936561",,321,,"Translation elongation factor Ts","GO:0003746|translation elongation factor activity;GO:0006414|translational elongation"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1387",,,"PATRIC.313590.8.CP009301.CDS.1527556.1528248.rev","PATRIC","CDS",1527556,1528248,693,"-",,"PLF_326319_00004325","PGF_01526839",,230,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1388",,,"PATRIC.313590.8.CP009301.CDS.1528463.1529170.fwd","PATRIC","CDS",1528463,1529170,708,"+","FIG00001819","PLF_326319_00001614","PGF_02923127",,235,,"Uridylate kinase (EC 2.7.4.22)","GO:0033862|UMP kinase activity"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.132",,,"PATRIC.313590.8.CP009301.CDS.152917.153216.fwd","PATRIC","CDS",152917,153216,300,"+","FIG00638284","PLF_326319_00002580","PGF_01526859",,99,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1389",,,"PATRIC.313590.8.CP009301.CDS.1529226.1529783.fwd","PATRIC","CDS",1529226,1529783,558,"+","FIG00000202","PLF_326319_00000990","PGF_00048926",,185,,"Ribosome recycling factor","GO:0006412|translation"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1390",,,"PATRIC.313590.8.CP009301.CDS.1529863.1531983.fwd","PATRIC","CDS",1529863,1531983,2121,"+","FIG00649156","PLF_326319_00001987","PGF_08225224",,706,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1391",,,"PATRIC.313590.8.CP009301.CDS.1532135.1534552.fwd","PATRIC","CDS",1532135,1534552,2418,"+","FIG00537918","PLF_326319_00002265","PGF_02937243",,805,,"Exporter protein, RND family",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.133",,,"PATRIC.313590.8.CP009301.CDS.153257.154459.fwd","PATRIC","CDS",153257,154459,1203,"+","FIG00656546","PLF_326319_00002124","PGF_00116853",,400,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1392",,,"PATRIC.313590.8.CP009301.CDS.1534629.1535174.fwd","PATRIC","CDS",1534629,1535174,546,"+","FIG01382102","PLF_326319_00000920","PGF_03451882",,181,,"Pyridoxamine 5'-phosphate oxidase-related, FMN-binding",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1393",,,"PATRIC.313590.8.CP009301.CDS.1535318.1536760.fwd","PATRIC","CDS",1535318,1536760,1443,"+","FIG00000636","PLF_326319_00001094","PGF_00066502",,480,,"Asparaginyl-tRNA synthetase (EC 6.1.1.22)","GO:0004816|asparagine-tRNA ligase activity"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1394",,,"PATRIC.313590.8.CP009301.CDS.1537383.1537916.fwd","PATRIC","CDS",1537383,1537916,534,"+","FIG00638284","PLF_326319_00001986","PGF_01526651",,177,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1395",,,"PATRIC.313590.8.CP009301.CDS.1537936.1538580.fwd","PATRIC","CDS",1537936,1538580,645,"+","FIG00638284","PLF_326319_00002597","PGF_01526870",,214,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1396",,,"PATRIC.313590.8.CP009301.CDS.1538746.1539348.fwd","PATRIC","CDS",1538746,1539348,603,"+","FIG00638284","PLF_326319_00001985","PGF_01526650",,200,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1397",,,"PATRIC.313590.8.CP009301.CDS.1539354.1540001.fwd","PATRIC","CDS",1539354,1540001,648,"+","FIG00638284","PLF_326319_00002227","PGF_01526749",,215,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1398",,,"PATRIC.313590.8.CP009301.CDS.1540036.1540692.fwd","PATRIC","CDS",1540036,1540692,657,"+","FIG00638284","PLF_326319_00007236","PGF_12954569",,218,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1399",,,"PATRIC.313590.8.CP009301.CDS.1540711.1540884.rev","PATRIC","CDS",1540711,1540884,174,"-",,"PLF_326319_00000003","PGF_01527111",,57,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1400",,,"PATRIC.313590.8.CP009301.CDS.1540975.1541610.fwd","PATRIC","CDS",1540975,1541610,636,"+","FIG00638284","PLF_326319_00001984","PGF_01526649",,211,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1401",,,"PATRIC.313590.8.CP009301.CDS.1541735.1542520.fwd","PATRIC","CDS",1541735,1542520,786,"+","FIG01107919","PLF_326319_00001361","PGF_08924570",,261,,"Two-component system sensor histidine kinase",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1402",,,"PATRIC.313590.8.CP009301.CDS.1542517.1543146.fwd","PATRIC","CDS",1542517,1543146,630,"+","FIG01031438","PLF_326319_00000118","PGF_07248091",,209,,"Two-component transcriptional response regulator, NarL/FixJ family",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1403",,,"PATRIC.313590.8.CP009301.CDS.1543440.1543796.rev","PATRIC","CDS",1543440,1543796,357,"-","FIG00638284","PLF_326319_00001723","PGF_01526552",,118,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1404",,,"PATRIC.313590.8.CP009301.CDS.1543782.1543895.fwd","PATRIC","CDS",1543782,1543895,114,"+",,"PLF_326319_00003845","PGF_01527696",,37,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1405",,,"PATRIC.313590.8.CP009301.CDS.1543995.1545806.fwd","PATRIC","CDS",1543995,1545806,1812,"+","FIG01351322","PLF_326319_00002292","PGF_06505263",,603,,"sodium-solute symporter, putative",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.134",,,"PATRIC.313590.8.CP009301.CDS.154460.155974.rev","PATRIC","CDS",154460,155974,1515,"-","FIG00638284","PLF_326319_00001797","PGF_03937168",,504,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1406",,,"PATRIC.313590.8.CP009301.CDS.1545806.1546294.fwd","PATRIC","CDS",1545806,1546294,489,"+","FIG00638284","PLF_326319_00001722","PGF_01526551",,162,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1407",,,"PATRIC.313590.8.CP009301.CDS.1546298.1547215.fwd","PATRIC","CDS",1546298,1547215,918,"+","FIG00001174","PLF_326319_00000167","PGF_00008192",,305,,"Glutaminase (EC 3.5.1.2)","GO:0004359|glutaminase activity"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1408",,,"PATRIC.313590.8.CP009301.CDS.1547242.1547637.fwd","PATRIC","CDS",1547242,1547637,396,"+",,"PLF_326319_00002489","PGF_01526795",,131,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1409",,,"PATRIC.313590.8.CP009301.CDS.1547634.1548032.fwd","PATRIC","CDS",1547634,1548032,399,"+",,"PLF_326319_00001721","PGF_09361040",,132,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1410",,,"PATRIC.313590.8.CP009301.CDS.1548024.1548707.rev","PATRIC","CDS",1548024,1548707,684,"-","FIG00986061","PLF_326319_00000909","PGF_03138336",,227,,"tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase (EC 2.1.1.61)","GO:0004808|tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase activity"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1411",,,"PATRIC.313590.8.CP009301.CDS.1548794.1549342.rev","PATRIC","CDS",1548794,1549342,549,"-","FIG00638284","PLF_326319_00001983","PGF_08225224",,182,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1412",,,"PATRIC.313590.8.CP009301.CDS.1549424.1550488.fwd","PATRIC","CDS",1549424,1550488,1065,"+","FIG00050603","PLF_326319_00000606","PGF_08376928",,354,,"Branched-chain amino acid aminotransferase (EC 2.6.1.42)","GO:0004084|branched-chain-amino-acid transaminase activity;GO:0004084|L-leucine transaminase activity;GO:0004084|L-valine transaminase activity;GO:0004084|L-isoleucine transaminase activity"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1413",,,"PATRIC.313590.8.CP009301.CDS.1550624.1551409.fwd","PATRIC","CDS",1550624,1551409,786,"+","FIG01537974","PLF_326319_00001170","PGF_02588244",,261,,"Gll1625 protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1414",,,"PATRIC.313590.8.CP009301.CDS.1551521.1553014.fwd","PATRIC","CDS",1551521,1553014,1494,"+","FIG00000624","PLF_326319_00000223","PGF_00021217",,497,,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.12)",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1415",,,"PATRIC.313590.8.CP009301.CDS.1553026.1553658.fwd","PATRIC","CDS",1553026,1553658,633,"+","FIG00650205","PLF_326319_00001720","PGF_10545949",,210,,"FIG00552525: hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1416",,,"PATRIC.313590.8.CP009301.CDS.1553648.1554220.fwd","PATRIC","CDS",1553648,1554220,573,"+","FIG00650205","PLF_326319_00001982","PGF_10545949",,190,,"FIG00552525: hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1417",,,"PATRIC.313590.8.CP009301.CDS.1554352.1554738.fwd","PATRIC","CDS",1554352,1554738,387,"+","FIG01956050","PLF_326319_00000202","PGF_03097008",,128,,"Integral membrane protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1418",,,"PATRIC.313590.8.CP009301.CDS.1554845.1555309.fwd","PATRIC","CDS",1554845,1555309,465,"+","FIG00638284","PLF_326319_00001981","PGF_00001101",,154,,"FIG00936914: hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1419",,,"PATRIC.313590.8.CP009301.CDS.1555315.1556136.fwd","PATRIC","CDS",1555315,1556136,822,"+","FIG00000036","PLF_326319_00001033","PGF_06629251",,273,,"Methionine aminopeptidase (EC 3.4.11.18)",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1420",,,"PATRIC.313590.8.CP009301.CDS.1556206.1556904.fwd","PATRIC","CDS",1556206,1556904,699,"+","FIG00007960","PLF_326319_00001280","PGF_00009684",,232,,"Glycosyltransferase",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1421",,,"PATRIC.313590.8.CP009301.CDS.1556908.1557906.rev","PATRIC","CDS",1556908,1557906,999,"-","FIG00133219","PLF_326319_00001145","PGF_10439576",,332,,"FAD:protein FMN transferase (EC 2.7.1.180) @ FAD:protein FMN transferase (EC 2.7.1.180), NqrBC-associated",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1422",,,"PATRIC.313590.8.CP009301.CDS.1557906.1558268.rev","PATRIC","CDS",1557906,1558268,363,"-","FIG00084203","PLF_326319_00001335","PGF_00013316",,120,,"Hypothetical protein in ApbE locus",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1423",,,"PATRIC.313590.8.CP009301.CDS.1558334.1559080.rev","PATRIC","CDS",1558334,1559080,747,"-","FIG00481866","PLF_326319_00002871","PGF_08449844",,248,,"Response regulator",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1424",,,"PATRIC.313590.8.CP009301.CDS.1559052.1559864.rev","PATRIC","CDS",1559052,1559864,813,"-","FIG00516172","PLF_326319_00002870","PGF_12746374",,270,,"Two-component system sensor histidine kinase",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.135",,,"PATRIC.313590.8.CP009301.CDS.155971.157209.rev","PATRIC","CDS",155971,157209,1239,"-","FIG00650415","PLF_326319_00001854","PGF_00333916",,412,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1425",,,"PATRIC.313590.8.CP009301.CDS.1559846.1560463.rev","PATRIC","CDS",1559846,1560463,618,"-","FIG00638284","PLF_326319_00002869","PGF_01527032",,205,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1426",,,"PATRIC.313590.8.CP009301.CDS.1560485.1561009.rev","PATRIC","CDS",1560485,1561009,525,"-","FIG00638284","PLF_326319_00002868","PGF_01527031",,174,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1427",,,"PATRIC.313590.8.CP009301.CDS.1561101.1561955.rev","PATRIC","CDS",1561101,1561955,855,"-","FIG00638284","PLF_326319_00002867","PGF_08225224",,284,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1428",,,"PATRIC.313590.8.CP009301.CDS.1562103.1563809.rev","PATRIC","CDS",1562103,1563809,1707,"-","FIG00552544","PLF_326319_00002673","PGF_05667359",,568,,"Outer membrane lipoprotein omp16 precursor",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1429",,,"PATRIC.313590.8.CP009301.CDS.1564014.1565321.rev","PATRIC","CDS",1564014,1565321,1308,"-","FIG00001373","PLF_326319_00000660","PGF_00025190",,435,,"Na(+)-translocating NADH-quinone reductase subunit F (EC 1.6.5.8)",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1430",,,"PATRIC.313590.8.CP009301.CDS.1565324.1566010.rev","PATRIC","CDS",1565324,1566010,687,"-","FIG00001289","PLF_326319_00000659","PGF_00025189",,228,,"Na(+)-translocating NADH-quinone reductase subunit E (EC 1.6.5.8)",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1431",,,"PATRIC.313590.8.CP009301.CDS.1566110.1566757.rev","PATRIC","CDS",1566110,1566757,648,"-","FIG00002053","PLF_326319_00000658","PGF_00025188",,215,,"Na(+)-translocating NADH-quinone reductase subunit D (EC 1.6.5.8)",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1432",,,"PATRIC.313590.8.CP009301.CDS.1566757.1567503.rev","PATRIC","CDS",1566757,1567503,747,"-","FIG00036997","PLF_326319_00000657","PGF_00025187",,248,,"Na(+)-translocating NADH-quinone reductase subunit C (EC 1.6.5.8)",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1433",,,"PATRIC.313590.8.CP009301.CDS.1567506.1568714.rev","PATRIC","CDS",1567506,1568714,1209,"-","FIG00033847","PLF_326319_00000656","PGF_00025185",,402,,"Na(+)-translocating NADH-quinone reductase subunit B (EC 1.6.5.8)",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1434",,,"PATRIC.313590.8.CP009301.CDS.1568718.1570064.rev","PATRIC","CDS",1568718,1570064,1347,"-","FIG00001337","PLF_326319_00000655","PGF_03974059",,448,,"Na(+)-translocating NADH-quinone reductase subunit A (EC 1.6.5.8)",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1435",,,"PATRIC.313590.8.CP009301.CDS.1570344.1570481.fwd","PATRIC","CDS",1570344,1570481,138,"+",,"PLF_326319_00002809","PGF_01526997",,45,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1436",,,"PATRIC.313590.8.CP009301.CDS.1570478.1571731.fwd","PATRIC","CDS",1570478,1571731,1254,"+","FIG00649462","PLF_326319_00001719","PGF_08225224",,417,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1437",,,"PATRIC.313590.8.CP009301.CDS.1571783.1572976.fwd","PATRIC","CDS",1571783,1572976,1194,"+","FIG01403152","PLF_326319_00000525","PGF_00007666",,397,,"Gll1812 protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.136",,,"PATRIC.313590.8.CP009301.CDS.157209.160247.rev","PATRIC","CDS",157209,160247,3039,"-","FIG00653909","PLF_326319_00001796","PGF_08225224",,1012,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1438",,,"PATRIC.313590.8.CP009301.CDS.1572978.1573364.fwd","PATRIC","CDS",1572978,1573364,387,"+","FIG00001142","PLF_326319_00001092","PGF_01708405",,128,,"ApaG protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1439",,,"PATRIC.313590.8.CP009301.CDS.1573333.1574343.rev","PATRIC","CDS",1573333,1574343,1011,"-","FIG00638284","PLF_326319_00001980","PGF_00222325",,336,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1440",,,"PATRIC.313590.8.CP009301.CDS.1574340.1575056.rev","PATRIC","CDS",1574340,1575056,717,"-","FIG00693338","PLF_326319_00001718","PGF_08225224",,238,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1441",,,"PATRIC.313590.8.CP009301.CDS.1575186.1575317.rev","PATRIC","CDS",1575186,1575317,132,"-",,"PLF_326319_00003746","PGF_01527597",,43,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1442",,,"PATRIC.313590.8.CP009301.CDS.1575322.1576953.fwd","PATRIC","CDS",1575322,1576953,1632,"+","FIG00043720","PLF_326319_00000149","PGF_00422888",,543,,"Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.2.1.88)",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1443",,,"PATRIC.313590.8.CP009301.CDS.1576943.1577080.rev","PATRIC","CDS",1576943,1577080,138,"-",,"PLF_326319_00002553","PGF_01526838",,45,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1444",,,"PATRIC.313590.8.CP009301.CDS.1577096.1577479.rev","PATRIC","CDS",1577096,1577479,384,"-",,"PLF_326319_00002488","PGF_01526794",,127,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1445",,,"PATRIC.313590.8.CP009301.CDS.1577490.1578455.rev","PATRIC","CDS",1577490,1578455,966,"-","FIG00000453","PLF_326319_00001193","PGF_04775373",,321,,"5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)","GO:0004489|methylenetetrahydrofolate reductase (NAD(P)H) activity"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1446",,,"PATRIC.313590.8.CP009301.CDS.1578459.1581149.rev","PATRIC","CDS",1578459,1581149,2691,"-","FIG00000672","PLF_326319_00001194","PGF_12691283",,896,,"5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13), C-terminal domain","GO:0008705|methionine synthase activity"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1447",,,"PATRIC.313590.8.CP009301.CDS.1581149.1582147.rev","PATRIC","CDS",1581149,1582147,999,"-","FIG00000672","PLF_326319_00000567","PGF_12943447",,332,,"5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13), N-terminal domain","GO:0008705|methionine synthase activity"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1448",,,"PATRIC.313590.8.CP009301.CDS.1582150.1583238.rev","PATRIC","CDS",1582150,1583238,1089,"-","FIG00000434","PLF_326319_00001319","PGF_00492707",,362,,"Homoserine dehydrogenase (EC 1.1.1.3)","GO:0004412|homoserine dehydrogenase activity"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1449",,,"PATRIC.313590.8.CP009301.CDS.1583226.1584197.rev","PATRIC","CDS",1583226,1584197,972,"-","FIG00000716","PLF_326319_00001318","PGF_00012329",,323,,"Homoserine O-acetyltransferase (EC 2.3.1.31)","GO:0004414|homoserine O-acetyltransferase activity"
