gene_id	gene_name	product	kegg_pathway
MED134_04419	unspecified	glyoxalase/bleomycin resistance protein/dioxygenase superfamily protein	unspecified
MED134_04414	unspecified	hypothetical protein	unspecified
MED134_04409	unspecified	ROK family protein	00010 Glycolysis / Gluconeogenesis [PATH:dok00010],00520 Amino sugar and nucleotide sugar metabolism [PATH:dok00520]
MED134_04404	unspecified	zinc carboxypeptidase	unspecified
MED134_04399	unspecified	hypothetical protein	unspecified
MED134_04394	unspecified	multidrug resistance protein	unspecified
MED134_04389	unspecified	DJ-1/PfpI family protein	unspecified
MED134_04384	unspecified	haloacid dehalogenase-like hydrolase	00625 Chloroalkane and chloroalkene degradation [PATH:dok00625],00361 Chlorocyclohexane and chlorobenzene degradation [PATH:dok00361]
MED134_04379	unspecified	ArsC family protein	unspecified
MED134_04374	unspecified	hypothetical protein	unspecified
MED134_04369	unspecified	hypothetical protein	unspecified
MED134_04364	unspecified	hypothetical protein	unspecified
MED134_04359	serC	phosphoserine aminotransferase	00680 Methane metabolism [PATH:dok00680],00260 Glycine, serine and threonine metabolism [PATH:dok00260],00270 Cysteine and methionine metabolism [PATH:dok00270],00750 Vitamin B6 metabolism [PATH:dok00750]
MED134_04354	serA1	D-3-phosphoglycerate dehydrogenase	00680 Methane metabolism [PATH:dok00680],00260 Glycine, serine and threonine metabolism [PATH:dok00260],00270 Cysteine and methionine metabolism [PATH:dok00270]
MED134_04349	unspecified	hypothetical protein	unspecified
MED134_04344	unspecified	hypothetical protein	unspecified
MED134_04339	unspecified	hypothetical protein	unspecified
MED134_04334	unspecified	hypothetical protein	unspecified
MED134_04329	susC9	TonB dependent/ligand-gated channel	unspecified
MED134_04324	unspecified	hypothetical protein	unspecified
MED134_04319	unspecified	carbohydrate kinase	unspecified
MED134_04314	thrA	bifunctional aspartokinase/homoserine dehydrogenase 1	00260 Glycine, serine and threonine metabolism [PATH:dok00260],00270 Cysteine and methionine metabolism [PATH:dok00270],00300 Lysine biosynthesis [PATH:dok00300],00261 Monobactam biosynthesis [PATH:dok00261]
MED134_04309	thrB	homoserine kinase	00260 Glycine, serine and threonine metabolism [PATH:dok00260]
MED134_04304	unspecified	amidohydrolase family protein	unspecified
MED134_04299	unspecified	amidohydrolase family protein	unspecified
MED134_04294	unspecified	hypothetical protein	unspecified
MED134_04289	gltS1	ferredoxin-dependent glutamate synthase	unspecified
MED134_04284	unspecified	hypothetical protein	unspecified
MED134_04279	unspecified	peptidase family M1	00480 Glutathione metabolism [PATH:dok00480]
MED134_04274	unspecified	DEAD/DEAH box helicase	03440 Homologous recombination [PATH:dok03440]
MED134_04269	unspecified	hypothetical protein	unspecified
MED134_04259	pheT	phenylalanyl-tRNA synthetase beta chain	00970 Aminoacyl-tRNA biosynthesis [PATH:dok00970]
MED134_04254	unspecified	hypothetical protein	unspecified
MED134_04249	unspecified	hypothetical protein	unspecified
MED134_04244	unspecified	ABC transporter, ATP-binding protein	unspecified
MED134_04239	unspecified	hypothetical protein	unspecified
MED134_04234	talC	transaldolase	00030 Pentose phosphate pathway [PATH:dok00030]
MED134_04229	unspecified	short chain dehydrogenase	unspecified
MED134_04224	unspecified	thioredoxin family protein	unspecified
MED134_04219	unspecified	nitroreductase family protein	unspecified
MED134_04214	unspecified	acyl-CoA thioester hydrolase	unspecified
MED134_04209	unspecified	hypothetical protein	unspecified
MED134_04204	gldG	gliding motility protein GldG	unspecified
MED134_04199	dnaN1	DNA polymerase III, beta subunit	03030 DNA replication [PATH:dok03030],03430 Mismatch repair [PATH:dok03430],03440 Homologous recombination [PATH:dok03440]
MED134_04194	unspecified	peptidase family M28	unspecified
MED134_04189	unspecified	hypothetical protein	unspecified
MED134_04184	unspecified	Cys/Met metabolism PLP-dependent enzyme	00270 Cysteine and methionine metabolism [PATH:dok00270],00450 Selenocompound metabolism [PATH:dok00450]
MED134_04179	hutI	imidazolonepropionase	00340 Histidine metabolism [PATH:dok00340]
MED134_04174	unspecified	hypothetical protein	unspecified
MED134_04169	unspecified	arginase family protein	00340 Histidine metabolism [PATH:dok00340]
MED134_04164	unspecified	acetyltransferase (GNAT) family protein	unspecified
MED134_04159	unspecified	putative Zn-dependent hydrolase	unspecified
MED134_04154	unspecified	hypothetical protein	unspecified
MED134_04149	unspecified	hypothetical protein	unspecified
MED134_04144	unspecified	hypothetical protein	unspecified
MED134_04139	unspecified	peptidase family M1	unspecified
MED134_15652	unspecified	lipoprotein-releasing system transmembrane protein	02010 ABC transporters [PATH:dok02010]
MED134_04129	unspecified	hypothetical protein	unspecified
MED134_04124	unspecified	hypothetical protein	unspecified
MED134_04119	unspecified	peptidase family S41	unspecified
MED134_04114	unspecified	hypothetical protein	unspecified
MED134_04109	susC11	TonB dependent/ligand-gated channel	unspecified
MED134_04099	unspecified	Fe3+-specific periplasmic binding protein	unspecified
MED134_04094	unspecified	iron transport system permease	unspecified
MED134_04089	unspecified	ABC transporter, ATP-binding protein	unspecified
MED134_04084	unspecified	hypothetical protein	unspecified
MED134_04079	unspecified	DNA recombination protein RmuC	unspecified
MED134_04074	unspecified	hypothetical protein	unspecified
MED134_04069	carB	carbamoyl-phosphate synthase, large subunit	00240 Pyrimidine metabolism [PATH:dok00240],00250 Alanine, aspartate and glutamate metabolism [PATH:dok00250]
MED134_04064	rpmH	50S ribosomal protein L34	03010 Ribosome [PATH:dok03010]
MED134_04059	unspecified	hypothetical protein	unspecified
MED134_04054	argD1	acetylornithine/succinyldiaminopimelateaminotran sferase	00300 Lysine biosynthesis [PATH:dok00300],00220 Arginine biosynthesis [PATH:dok00220]
MED134_04049	uvrB	excinuclease ABC, B subunit	03420 Nucleotide excision repair [PATH:dok03420]
MED134_04044	unspecified	HSP20-like chaperone	unspecified
MED134_04039	unspecified	hypothetical protein	unspecified
MED134_04034	unspecified	amidohydrolase family protein	unspecified
MED134_04029	unspecified	hypothetical protein	unspecified
MED134_04024	unspecified	hypothetical protein	unspecified
MED134_04019	unspecified	serine carboxypeptidase	unspecified
MED134_04014	unspecified	peptidase family M10	unspecified
MED134_04009	unspecified	ATP-dependent protease La (LON)	unspecified
MED134_04004	lysA	diaminopimelate decarboxylase	00300 Lysine biosynthesis [PATH:dok00300],00470 D-Amino acid metabolism [PATH:dok00470]
MED134_03999	unspecified	penicillin binding protein transpeptidase	unspecified
MED134_03994	phnA	PhnA protein	unspecified
MED134_03989	unspecified	2-nitropropane dioxygenase-related protein	00061 Fatty acid biosynthesis [PATH:dok00061]
MED134_03984	unspecified	serine protease, subtilase family	unspecified
MED134_03979	trmU	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase	04122 Sulfur relay system [PATH:dok04122]
MED134_03974	unspecified	hypothetical protein	unspecified
MED134_03969	unspecified	hypothetical protein	unspecified
MED134_03964	unspecified	peptidase family M49	unspecified
MED134_03959	unspecified	transcription regulator, AraC family	unspecified
MED134_03954	crcB	CrcB-like protein	unspecified
MED134_03949	unspecified	hypothetical protein	unspecified
MED134_03944	unspecified	SAM dependent methyltransferase	unspecified
MED134_03939	unspecified	hypothetical protein	unspecified
MED134_03934	unspecified	hypothetical protein	unspecified
MED134_03929	unspecified	hypothetical protein	unspecified
MED134_03924	guaA	GMP synthase (glutamine-hydrolyzing)	00230 Purine metabolism [PATH:dok00230]
MED134_03919	unspecified	hypothetical protein	unspecified
MED134_03914	unspecified	bacterial regulatory protein, AsnC family	unspecified
MED134_03909	unspecified	hypothetical protein	unspecified
MED134_03904	unspecified	hypothetical protein	unspecified
MED134_03899	unspecified	hypothetical protein	unspecified
MED134_03894	unspecified	hypothetical protein	unspecified
MED134_03889	unspecified	hypothetical protein	unspecified
MED134_03884	folD	bifunctional protein folD	00670 One carbon pool by folate [PATH:dok00670]
MED134_03879	ffh	signal recognition 54 kDa protein	03060 Protein export [PATH:dok03060],03070 Bacterial secretion system [PATH:dok03070],02024 Quorum sensing [PATH:dok02024]
MED134_03874	unspecified	papain family cysteine protease	unspecified
MED134_03869	rpmE	50S ribosomal protein L31	03010 Ribosome [PATH:dok03010]
MED134_03864	unspecified	hypothetical protein	unspecified
MED134_03859	unspecified	glycosyl transferase family 2	unspecified
MED134_03854	unspecified	hypothetical protein	unspecified
MED134_03849	manB	phosphoglucomutase/phosphomannomutase	00010 Glycolysis / Gluconeogenesis [PATH:dok00010],00030 Pentose phosphate pathway [PATH:dok00030],00052 Galactose metabolism [PATH:dok00052],00500 Starch and sucrose metabolism [PATH:dok00500],00520 Amino sugar and nucleotide sugar metabolism [PATH:dok00520],00230 Purine metabolism [PATH:dok00230],00521 Streptomycin biosynthesis [PATH:dok00521]
MED134_03844	msbA	lipid A export ATP-binding/permease protein MsbA	02010 ABC transporters [PATH:dok02010]
MED134_03839	unspecified	hypothetical protein	unspecified
MED134_03834	unspecified	hypothetical protein	unspecified
MED134_03829	unspecified	hypothetical protein	unspecified
MED134_03824	unspecified	glycosyl hydrolase family 20	00520 Amino sugar and nucleotide sugar metabolism [PATH:dok00520],00511 Other glycan degradation [PATH:dok00511]
MED134_03819	unspecified	S-adenosylmethionine-dependentmethyltransferase	unspecified
MED134_03814	vanX	D-ala-D-ala dipeptidase	02020 Two-component system [PATH:dok02020],01502 Vancomycin resistance [PATH:dok01502]
MED134_03809	unspecified	hypothetical protein	unspecified
MED134_03804	unspecified	hypothetical protein	unspecified
MED134_03799	unspecified	hypothetical protein	unspecified
MED134_03794	unspecified	acyl-CoA thioester hydrolase	unspecified
MED134_03789	unspecified	haloacid dehalogenase-like hydrolase	unspecified
MED134_03784	unspecified	C4-dicarboxylate transport protein 2	unspecified
MED134_03779	aroC	chorismate synthase	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:dok00400]
MED134_03774	unspecified	calcineurin-like phosphoesterase	unspecified
MED134_03769	unspecified	hypothetical protein	unspecified
MED134_03764	unspecified	FAD linked oxidase-like protein	unspecified
MED134_03759	unspecified	hypothetical protein	unspecified
MED134_03754	unspecified	glycosyl transferase group 1	unspecified
MED134_03749	nagZ	beta-hexosaminidase	00520 Amino sugar and nucleotide sugar metabolism [PATH:dok00520],01501 beta-Lactam resistance [PATH:dok01501]
MED134_03744	unspecified	hypothetical protein	unspecified
MED134_03739	unspecified	putative iron-sulfur-binding reductase	00680 Methane metabolism [PATH:dok00680]
MED134_03734	unspecified	hypothetical protein	unspecified
MED134_03729	unspecified	hypothetical protein	unspecified
MED134_03724	unspecified	putative iron-sulfur-binding reductase	unspecified
MED134_03719	unspecified	ABC transporter, periplasmic binding protein	02010 ABC transporters [PATH:dok02010]
MED134_03714	amiA	N-acetylmuramoyl-L-alanine amidase	01503 Cationic antimicrobial peptide (CAMP) resistance [PATH:dok01503]
MED134_03709	unspecified	hypothetical protein	unspecified
MED134_03704	unspecified	endoribonuclease L-PSP	unspecified
MED134_03699	holA	DNA polymerase III delta subunit	03030 DNA replication [PATH:dok03030],03430 Mismatch repair [PATH:dok03430],03440 Homologous recombination [PATH:dok03440]
MED134_03694	unspecified	type I restriction enzyme R protein	unspecified
MED134_03689	unspecified	glycosyl transferase family 2	unspecified
MED134_03684	unspecified	OmpA family protein	02030 Bacterial chemotaxis [PATH:dok02030],02040 Flagellar assembly [PATH:dok02040]
MED134_03679	unspecified	hypothetical protein	unspecified
MED134_03674	unspecified	YrdC protein	unspecified
MED134_03669	unspecified	hypothetical protein	unspecified
MED134_03664	unspecified	alpha/beta hydrolase	unspecified
MED134_03659	unspecified	UvrD/REP helicase	03420 Nucleotide excision repair [PATH:dok03420],03430 Mismatch repair [PATH:dok03430]
MED134_03654	unspecified	bacterial regulatory protein, TetR family	unspecified
MED134_03649	ggt3	gamma-glutamyltranspeptidase	00430 Taurine and hypotaurine metabolism [PATH:dok00430],00460 Cyanoamino acid metabolism [PATH:dok00460],00480 Glutathione metabolism [PATH:dok00480]
MED134_03644	unspecified	glyoxalase/bleomycin resistance protein/dioxygenase superfamily protein	unspecified
MED134_03639	unspecified	site-specific DNA-methyltransferase (adenine-specific)	03430 Mismatch repair [PATH:dok03430]
MED134_15751	unspecified	hypothetical protein	unspecified
MED134_03629	unspecified	hypothetical protein	unspecified
MED134_03624	unspecified	DJ-1/PfpI family protein	unspecified
MED134_03614	unspecified	hypothetical protein	unspecified
MED134_03609	unspecified	hypothetical protein	unspecified
MED134_03604	unspecified	PAP2 superfamily protein	unspecified
MED134_03599	unspecified	hypothetical protein	unspecified
MED134_03594	unspecified	hypothetical protein	unspecified
MED134_03589	bhbA	methylmalonyl-CoA mutase	unspecified
MED134_03584	purU	formyltetrahydrofolate deformylase	00630 Glyoxylate and dicarboxylate metabolism [PATH:dok00630],00670 One carbon pool by folate [PATH:dok00670]
MED134_03579	unspecified	hypothetical protein	unspecified
MED134_03574	unspecified	hypothetical protein	unspecified
MED134_03569	fecB	Fe3+-binding periplasmic protein	unspecified
MED134_03564	pyrF	orotidine-5'-phosphate decarboxylase	00240 Pyrimidine metabolism [PATH:dok00240]
MED134_03559	prfA	peptide chain release factor 1	unspecified
MED134_03554	unspecified	hypothetical protein	unspecified
MED134_03549	purM	phosphoribosylformylglycinamidine cyclo-ligase	00230 Purine metabolism [PATH:dok00230]
MED134_03544	unspecified	hypothetical protein	unspecified
MED134_03539	unspecified	hypothetical protein	unspecified
MED134_03534	unspecified	transcription regulator, AraC family	unspecified
MED134_03529	unspecified	ThiJ/PfpI family protein	unspecified
MED134_03524	unspecified	hypothetical protein	unspecified
MED134_03519	unspecified	outer membrane lipoprotein	unspecified
MED134_03514	unspecified	hypothetical protein	unspecified
MED134_03509	unspecified	hypothetical protein	unspecified
MED134_03504	unspecified	hypothetical protein	unspecified
MED134_03499	unspecified	hypothetical protein	unspecified
MED134_03494	unspecified	hypothetical protein	unspecified
MED134_03489	unspecified	glutamate-ammonia ligase	00630 Glyoxylate and dicarboxylate metabolism [PATH:dok00630],00910 Nitrogen metabolism [PATH:dok00910],00250 Alanine, aspartate and glutamate metabolism [PATH:dok00250],00220 Arginine biosynthesis [PATH:dok00220],02020 Two-component system [PATH:dok02020]
MED134_03484	glnA	glutamate-ammonia ligase	00630 Glyoxylate and dicarboxylate metabolism [PATH:dok00630],00910 Nitrogen metabolism [PATH:dok00910],00250 Alanine, aspartate and glutamate metabolism [PATH:dok00250],00220 Arginine biosynthesis [PATH:dok00220],02020 Two-component system [PATH:dok02020]
MED134_03479	unspecified	sodium/potassium/calcium exchanger 1	unspecified
MED134_03474	relA	GTP pyrophosphokinase, RelA/SpoT family	00230 Purine metabolism [PATH:dok00230]
MED134_03469	fur3	ferric uptake regulator family protein	unspecified
MED134_03464	purA	adenylosuccinate synthetase	00230 Purine metabolism [PATH:dok00230],00250 Alanine, aspartate and glutamate metabolism [PATH:dok00250]
MED134_03459	unspecified	hypothetical protein	unspecified
MED134_03454	unspecified	thioredoxin family protein	unspecified
MED134_03449	unspecified	transglycosylase SLT	unspecified
MED134_03444	unspecified	hypothetical protein	unspecified
MED134_03439	unspecified	hypothetical protein	unspecified
MED134_03434	unspecified	hypothetical protein	unspecified
MED134_03429	unspecified	OmpA family protein	unspecified
MED134_03424	unspecified	hypothetical protein	unspecified
MED134_03419	unspecified	hypothetical protein	unspecified
MED134_03414	unspecified	Hsp70 protein	03018 RNA degradation [PATH:dok03018]
MED134_03409	unspecified	hypothetical protein	unspecified
MED134_03404	unspecified	ABC1 family protein	unspecified
MED134_03399	fabH1	beta-ketoacyl-acyl-carrier-protein synthase III	00061 Fatty acid biosynthesis [PATH:dok00061]
MED134_03394	unspecified	hypothetical protein	unspecified
MED134_03389	unspecified	peptidylprolyl isomerase	03250 Viral life cycle - HIV-1 [PATH:dok03250],01503 Cationic antimicrobial peptide (CAMP) resistance [PATH:dok01503]
MED134_03384	unspecified	calcineurin-like phosphoesterase	unspecified
MED134_03379	truA3	pseudouridylate synthase	unspecified
MED134_03374	unspecified	ABC transporter, ATP-binding and permease protein	02010 ABC transporters [PATH:dok02010]
MED134_03369	cyaA	adenylate cyclase	00230 Purine metabolism [PATH:dok00230]
MED134_03364	unspecified	hypothetical protein	unspecified
MED134_03359	unspecified	hypothetical protein	unspecified
MED134_03354	unspecified	DisA protein	unspecified
MED134_03349	unspecified	redoxin	unspecified
MED134_03344	unspecified	heat shock protein HtpG	unspecified
MED134_03339	unspecified	hypothetical protein	unspecified
MED134_03334	unspecified	aminodeoxychorismate lyase	unspecified
MED134_03329	unspecified	acetyltransferase (GNAT) family protein	00330 Arginine and proline metabolism [PATH:dok00330]
MED134_03324	dapF	diaminopimelate epimerase	00300 Lysine biosynthesis [PATH:dok00300],00470 D-Amino acid metabolism [PATH:dok00470]
MED134_03319	unspecified	trypsin-like serine protease	02020 Two-component system [PATH:dok02020],01503 Cationic antimicrobial peptide (CAMP) resistance [PATH:dok01503]
MED134_03314	gapA3	glyceraldehyde-3-phosphate dehydrogenase A	00010 Glycolysis / Gluconeogenesis [PATH:dok00010]
MED134_03309	unspecified	DNA binding helix-turn helix protein	unspecified
MED134_03304	unspecified	beta-lactamase family protein	unspecified
MED134_03299	unspecified	hypothetical protein	unspecified
MED134_03294	unspecified	LysE type translocator	unspecified
MED134_03289	unspecified	hypothetical protein	unspecified
MED134_15821	unspecified	putative transcriptional regulator	unspecified
MED134_15822	unspecified	hypothetical protein	unspecified
MED134_03274	unspecified	short chain dehydrogenase	unspecified
MED134_03269	unspecified	hypothetical protein	unspecified
MED134_03264	unspecified	hypothetical protein	unspecified
MED134_03259	unspecified	hypothetical protein	unspecified
MED134_03254	unspecified	hypothetical protein	unspecified
MED134_03249	unspecified	hypothetical protein	unspecified
MED134_03244	unspecified	hypothetical protein	unspecified
MED134_15830	unspecified	putative membrane protein	unspecified
MED134_03234	unspecified	RDD family protein	unspecified
MED134_03229	unspecified	putative addiction module antidote protein, CC2985 family	unspecified
MED134_03224	parE	plasmid stabilization system protein	unspecified
MED134_03219	unspecified	hypothetical protein	unspecified
MED134_03214	unspecified	hypothetical protein	unspecified
MED134_03209	unspecified	hypothetical protein	unspecified
MED134_03204	unspecified	acetyltransferase (GNAT) family protein	unspecified
MED134_03199	trmD	tRNA (guanine-N(1)-)-methyltransferase	unspecified
MED134_03194	prfB	peptide chain release factor 2	unspecified
MED134_03189	unspecified	hypothetical protein	unspecified
MED134_03184	unspecified	CAAX amino terminal protease family	unspecified
MED134_03179	unspecified	transcription regulator, AsnC family	unspecified
MED134_03174	unspecified	Cys/Met metabolism PLP-dependent enzyme	00270 Cysteine and methionine metabolism [PATH:dok00270],00450 Selenocompound metabolism [PATH:dok00450]
MED134_03169	nhaC	Na+/H+ antiporter NhaC	unspecified
MED134_03164	unspecified	AhpC/TSA family protein	unspecified
MED134_03159	unspecified	thioredoxin	unspecified
MED134_03154	unspecified	hypothetical protein	unspecified
MED134_03149	unspecified	redoxin	unspecified
MED134_03144	dgkA	diacylglycerol kinase	00561 Glycerolipid metabolism [PATH:dok00561],00564 Glycerophospholipid metabolism [PATH:dok00564]
MED134_15850	ftsK	DNA translocase ftsK	unspecified
MED134_03120	unspecified	outer membrane lipoprotein carrier protein LolA	unspecified
MED134_03115	unspecified	putative permease YjgP/YjgQ family	02010 ABC transporters [PATH:dok02010]
MED134_03110	ribA1	3,4-dihydroxy-2-butanone 4-phosphate synthase/GTP cyclohydrolase	00740 Riboflavin metabolism [PATH:dok00740],00790 Folate biosynthesis [PATH:dok00790]
MED134_03105	unspecified	glutamine cyclotransferase	unspecified
MED134_03100	unspecified	hypothetical protein	unspecified
MED134_03095	unspecified	hypothetical protein	unspecified
MED134_03090	unspecified	hypothetical protein	unspecified
MED134_03085	unspecified	hypothetical protein	unspecified
MED134_03080	smpB	SsrA-binding protein	unspecified
MED134_03075	unspecified	hypothetical protein	unspecified
MED134_03070	unspecified	phosphoglycerate mutase family protein	00010 Glycolysis / Gluconeogenesis [PATH:dok00010],00680 Methane metabolism [PATH:dok00680],00260 Glycine, serine and threonine metabolism [PATH:dok00260]
MED134_15862	unspecified	hypothetical protein	unspecified
MED134_03065	unspecified	hypothetical protein	unspecified
MED134_03060	aroE	shikimate dehydrogenase	unspecified
MED134_03055	unspecified	hypothetical protein	unspecified
MED134_03050	unspecified	hypothetical protein	unspecified
MED134_03045	unspecified	hypothetical protein	unspecified
MED134_03040	unspecified	hypothetical protein	unspecified
MED134_03035	unspecified	hypothetical protein	unspecified
MED134_03030	unspecified	zinc carboxypeptidase	unspecified
MED134_03025	unspecified	amidohydrolase family protein	unspecified
MED134_03020	unspecified	ABC transporter, ATP-binding protein	unspecified
MED134_03015	pabB	para-aminobenzoate synthase, component I	00790 Folate biosynthesis [PATH:dok00790]
MED134_03010	unspecified	hypothetical protein	unspecified
MED134_03005	unspecified	hypothetical protein	unspecified
MED134_03000	unspecified	hypothetical protein	unspecified
MED134_02995	unspecified	MazG protein	unspecified
MED134_02990	unspecified	hypothetical protein	unspecified
MED134_02985	def	peptide deformylase	unspecified
MED134_02980	unspecified	Holliday junction resolvase-like protein	unspecified
MED134_02975	dapD	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	00300 Lysine biosynthesis [PATH:dok00300]
MED134_02970	unspecified	glycosyltransferase family protein	unspecified
MED134_02965	unspecified	putative sugar nucleotidyltransferase	unspecified
MED134_02960	unspecified	hypothetical protein	00552 Teichoic acid biosynthesis [PATH:dok00552]
MED134_02955	unspecified	hypothetical protein	unspecified
MED134_02950	rpsA	30S ribosomal protein S1	03010 Ribosome [PATH:dok03010]
MED134_02945	unspecified	hypothetical protein	unspecified
MED134_02940	unspecified	transglutaminase-like superfamily protein	unspecified
MED134_02935	unspecified	putative pterin-4-alpha-carbinolamine dehydratase	00790 Folate biosynthesis [PATH:dok00790]
MED134_02930	unspecified	hypothetical protein	unspecified
MED134_02925	unspecified	hypothetical protein	unspecified
MED134_02920	unspecified	hypothetical protein	unspecified
MED134_02915	unspecified	hypothetical protein	unspecified
MED134_02910	cmk	cytidylate kinase	00240 Pyrimidine metabolism [PATH:dok00240]
MED134_02905	unspecified	hypothetical protein	unspecified
MED134_02900	lon	ATP-dependent protease La	unspecified
MED134_02895	unspecified	RNA polymerase sigma factor, sigma-70 family	unspecified
MED134_02890	unspecified	hypothetical protein	unspecified
MED134_02885	unspecified	hypothetical protein	unspecified
MED134_02880	unspecified	hypothetical protein	unspecified
MED134_02875	unspecified	hypothetical protein	unspecified
MED134_02870	unspecified	hypothetical protein	unspecified
MED134_02865	mscL1	large-conductance mechanosensitive channel	unspecified
MED134_02860	unspecified	major facilitator superfamily permease	unspecified
MED134_02855	unspecified	peptidase family M48	unspecified
MED134_02850	unspecified	glycosyl hydrolase family 31	00052 Galactose metabolism [PATH:dok00052],00500 Starch and sucrose metabolism [PATH:dok00500]
MED134_02845	glgB	1,4-alpha-glucan branching enzyme	00500 Starch and sucrose metabolism [PATH:dok00500]
MED134_02840	glgC	glucose-1-phosphate adenylyltransferase	00500 Starch and sucrose metabolism [PATH:dok00500],00520 Amino sugar and nucleotide sugar metabolism [PATH:dok00520]
MED134_02835	glgA1	glycogen/starch synthase, ADP-glucose type	00500 Starch and sucrose metabolism [PATH:dok00500]
MED134_02830	msrB1	peptide-methionine (R)-S-oxide reductase	unspecified
MED134_02825	msrB3	peptide-methionine (R)-S-oxide reductase	unspecified
MED134_02820	lpdA	dihydrolipoyl dehydrogenase	00010 Glycolysis / Gluconeogenesis [PATH:dok00010],00020 Citrate cycle (TCA cycle) [PATH:dok00020],00620 Pyruvate metabolism [PATH:dok00620],00630 Glyoxylate and dicarboxylate metabolism [PATH:dok00630],00640 Propanoate metabolism [PATH:dok00640],00260 Glycine, serine and threonine metabolism [PATH:dok00260],00280 Valine, leucine and isoleucine degradation [PATH:dok00280],00310 Lysine degradation [PATH:dok00310],00380 Tryptophan metabolism [PATH:dok00380],00785 Lipoic acid metabolism [PATH:dok00785]
MED134_02815	aroQ	3-dehydroquinate dehydratase, type II	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:dok00400]
MED134_02810	unspecified	hypothetical protein	unspecified
MED134_02805	unspecified	phage integrase family protein	unspecified
MED134_02800	unspecified	Xaa-Pro aminopeptidase	unspecified
MED134_02795	unspecified	hypothetical protein	unspecified
MED134_02790	unspecified	hypothetical protein	unspecified
MED134_02785	menE	O-succinylbenzoate-CoA ligase	00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:dok00130]
MED134_02780	unspecified	CAAX amino terminal protease family	unspecified
MED134_02775	menC	O-succinylbenzoate synthase	unspecified
MED134_02770	unspecified	hypothetical protein	unspecified
MED134_02765	ilvE1	branched-chain-amino-acid transaminase	00270 Cysteine and methionine metabolism [PATH:dok00270],00280 Valine, leucine and isoleucine degradation [PATH:dok00280],00290 Valine, leucine and isoleucine biosynthesis [PATH:dok00290],00770 Pantothenate and CoA biosynthesis [PATH:dok00770]
MED134_02760	unspecified	hypothetical protein	unspecified
MED134_02755	hemN1	coproporphyrinogen dehydrogenase	00860 Porphyrin metabolism [PATH:dok00860]
MED134_02745	unspecified	hypothetical protein	unspecified
MED134_02740	unspecified	hypothetical protein	unspecified
MED134_02735	ccoG	cytochrome c oxidase accessory protein CcoG	unspecified
MED134_02730	ccoP	cytochrome c oxidase, cbb3-type, subunit III	00190 Oxidative phosphorylation [PATH:dok00190],02020 Two-component system [PATH:dok02020]
MED134_02720	ccoN	cytochrome cbb3 oxidase subunit I/III	00190 Oxidative phosphorylation [PATH:dok00190],02020 Two-component system [PATH:dok02020]
MED134_02705	unspecified	cation transport P-type ATPase, E1-E2 family	unspecified
MED134_02700	unspecified	hypothetical protein	unspecified
MED134_02695	unspecified	hypothetical protein	unspecified
MED134_02690	unspecified	universal stress protein UspA	unspecified
MED134_02685	unspecified	universal stress protein UspA	unspecified
MED134_02680	unspecified	universal stress protein UspA	unspecified
MED134_02675	unspecified	universal stress protein UspA	unspecified
MED134_02670	unspecified	universal stress protein UspA	unspecified
MED134_02665	unspecified	universal stress protein UspA	unspecified
MED134_02660	unspecified	two-component system response regulator	unspecified
MED134_02655	unspecified	two-component system sensor histidine kinase	unspecified
MED134_02650	unspecified	hypothetical protein	unspecified
MED134_02640	unspecified	universal stress protein UspA	unspecified
MED134_02630	unspecified	hypothetical protein	unspecified
MED134_02625	unspecified	patatin-like phospholipase	unspecified
MED134_02620	unspecified	universal stress protein UspA	unspecified
MED134_02615	unspecified	phosphatidate phosphatase	unspecified
MED134_02610	unspecified	zinc carboxypeptidase	unspecified
MED134_02605	unspecified	hypothetical protein	unspecified
MED134_02595	unspecified	hypothetical protein	unspecified
MED134_02590	unspecified	glycosyl transferase family 2	unspecified
MED134_02585	ilvA	threonine ammonia-lyase	00260 Glycine, serine and threonine metabolism [PATH:dok00260],00290 Valine, leucine and isoleucine biosynthesis [PATH:dok00290]
MED134_02580	ilvC	ketol-acid reductoisomerase	00290 Valine, leucine and isoleucine biosynthesis [PATH:dok00290],00770 Pantothenate and CoA biosynthesis [PATH:dok00770]
MED134_02575	ilvN	acetolactate synthase, small subunit	00650 Butanoate metabolism [PATH:dok00650],00660 C5-Branched dibasic acid metabolism [PATH:dok00660],00290 Valine, leucine and isoleucine biosynthesis [PATH:dok00290],00770 Pantothenate and CoA biosynthesis [PATH:dok00770]
MED134_02570	ilvB	acetolactate synthase large subunit	00650 Butanoate metabolism [PATH:dok00650],00660 C5-Branched dibasic acid metabolism [PATH:dok00660],00290 Valine, leucine and isoleucine biosynthesis [PATH:dok00290],00770 Pantothenate and CoA biosynthesis [PATH:dok00770]
MED134_02565	ilvD	dihydroxy-acid dehydratase	00290 Valine, leucine and isoleucine biosynthesis [PATH:dok00290],00770 Pantothenate and CoA biosynthesis [PATH:dok00770]
